,Unnamed: 0.1,Unnamed: 0,Subject,Course Title,Description,Institute,Provider,Instructor,Language,Rating,Course_Link
243,246,246.0,Electrical Engineering,التقانة والمستشعرات النانوية - الجزء الاول,                The description goes here                The description goes here             The description goes here                 The description goes here     ,Technion - Israel Institute of Technology,Coursera,Hossam Haick,Arabic,4.1,https://www.classcentral.com/course/nanosar1-1012
1550,563,,Graphic Design,إنشاء تصاميم على موقع بيكتو شارت,                                                                                                                                                                              ,Coursera Project Network,Coursera,"Taught by
Hassan Rebaie",Arabic,-1.0,https://www.classcentral.com/course/create-digital-designs-on-piktochart-24312
2640,1653,,Web Development, بناء Backend لنسخة من Twitter,                                development environment    express server    routes     Mongo Database      models    mongoose         Twitter               Backend server     Twitter   Node   express   MongoDB                              backend                   backend development                 backend development                                             ,Coursera Project Network,Coursera,"Taught by
Paul Ashraf",Arabic,-1.0,https://www.classcentral.com/course/twitter-clone-backend-arabic-25460
2641,1654,,Python,لعبة الثعبان عن طريق python:استخدم pygame لتصنع لعبتك الخاصة,                                       python   pygame             functions     pygame library          modules      draw    time   display                 events          functions                                             python       python                             syntax                       python   pygame            framework                                                                                         ,Coursera Project Network,Coursera,"Taught by
Yousef Metwally",Arabic,-1.0,https://www.classcentral.com/course/snakegame-python-pygame-arabic-25461
2651,1664,,Web Design,صمم موقعك الشخصي وتعلم برمجة المواقع من خلال التطبيق العملي,                                                                                                                                                                                                                                          ,Coursera Project Network,Coursera,"Taught by
Amani Abbas",Arabic,-1.0,https://www.classcentral.com/course/build-your-website-html-css-arabic-25472
2655,1668,,Investment,إدارة مخاطر الاستثمار,                                                                                                                                           ,Coursera Project Network,Coursera,"Taught by
Hassan Rebaie",Arabic,-1.0,https://www.classcentral.com/course/investment-risk-management-arabic-25477
2773,1786,,Marketing,كيف تزيد أرباحك أونلاين بطريقة اوتوماتيكية مدروسة ومبسطة,Online Business  Marketing  Sales Funnels  What you'll learn                                                                                                                                                                                                                                                                                                           ,-1,Udemy,"Taught by
Ameer Refaee أمير الرفاعي",Arabic,3.9,https://www.classcentral.com/course/udemy-arbahyautomatic-25614
2887,1900,,Machine Learning,Machine Learning,                         What you'll learn                                           NumPy for Numerical Data    Pandas for Data Analysis    SciKit Learn for Machine Learning Tasks    K Means ClusteringLogistic RegressionLinear RegressionRandom Forest and Decision TreesNeural NetworksSupport Vector Machines  1 Numpy   Pandas                   Advanced Numpy                   AdvancedPandas         Data Preprocessing             2Regression           Simple Linear Regression        Multiple Linear Regression Intuition        Polynomial Regression        Support Vector Regression  SVR          Decision TreeRegression          Random Forest Regression     3 Classification                       K NN        SVM                Kernel SVM                Naive Bayes                Decision Tree Classification                Random Forest Classification             4Clustering           K Means                Hierarchical Clustering            5Association Rule Learning          Apriori                Eclat            6Reinforcement Learning            Upper Confidence Bound                Thompson Sampling            7Natural Language Processing  NLP         Bag of words model               algorithms for NLP            8Deep Learning                               Deep Learning  Artificial Neural Networks  Convolutional Neural Networks      9Dimensionality Reduction          PCA               Kernel PCA               LDA            10Model Selection   Boosting          k fold Cross Validation               Parameter Tuning                 Grid Search               XGBoost                                                                                                                               Reinforcement Learning   NPL     Deep Learning         Dimensionality Reduction                                                                     ,-1,Udemy,"Taught by
Dr. Tamer Eid, Hadelin de Ponteves, Kirill Eremenko, SuperDataScience Team, Loaii abdalslam and Mohamed Rehan",Arabic,4.5,https://www.classcentral.com/course/udemy-machine-learning-arabic-25734
2912,1925,,Python,Deep learning Preparation Course in Arabic Part 1 : Python,To Learn machine learning   Be a learning Machine  What you'll learn  You'll be aware with Python syntax and you'll be able to program what you'll have learned in a final project you'll develop locally  To provide students with an in depth introduction to two main areas of Machine Learning  supervised and unsupervised  We will cover some of the main models and algorithms for regression  classification andclustering  Topics will include linear and logistic regression  regularization SVMs and kernel methods  ANNs  clustering  and dimensionality reduction The module will use primarily the Python programming language ,-1,Udemy,"Taught by
Hazem ABDELKAWY",Arabic,4.6,https://www.classcentral.com/course/udemy-machine-learning-and-deep-learning-for-arab-25759
2936,1949,,Version Control,Introduction to Git and GitHub,              Git   GitHub                      What you'll learn            git                  git                 Git                                                                                       Git                            ,-1,Udemy,"Taught by
Fadi Al-Aswadi",Arabic,4.4,https://www.classcentral.com/course/udemy-git-github-intro-25785
